;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;975;45;93;83;71;205;4,38;25,19;17,53;34,45;33,66;75,54;56,24;00:21:34;3,43;3,53;8,45;7,31;20,95;9,41;12,71;10;27,07;23;0;23;63,7;39,39;25,82;5,67;00:00:14;75,54;00:00:12;00:00:02;00:00:51;00:00:12;00:00:12;00:00:12;00:00:35;00:00:32;
BIANCU;874;42;100;80;72;186;4,06;25,6;13,88;38,9;29,34;78,24;60,22;00:20:55;3,36;4,45;9,16;8,3;21,31;11,49;14;13;29;24;0;24;53,88;40,68;26,83;5,1;00:00:15;78,24;00:00:10;00:00:01;00:00:45;00:00:13;00:00:10;00:00:13;00:00:33;00:00:30;
BOCCIA;939;45;83;85;79;197;4,41;27,28;22,2;36,26;37,08;76,06;59,07;00:20:58;3,95;3,86;9;8,42;20,98;8,89;12;16;28;26;0;26;91,54;40,6;26,87;5,55;00:00:13;76,06;00:00:13;00:00:03;00:00:48;00:00:13;00:00:13;00:00:13;00:00:33;00:00:33;
BRIGNANI;1107;49;125;111;75;265;4,85;28,8;36,9;39,99;42,17;72,24;78,63;00:22:44;3,81;3,61;10,02;6,76;23,94;11,31;16;9;32;22;0;22;57,9;43,71;26,93;6,62;00:00:19;72,24;00:00:15;00:00:05;00:01:05;00:00:16;00:00:15;00:00:14;00:00:47;00:00:36;
EMERSON;1043;47;103;85;74;239;4,59;25,12;9,02;31,19;38,38;73,73;58,24;00:22:01;3,68;2,99;8,17;7,09;22,91;9,91;13;12;23;20;0;20;58,32;41,06;25,58;6,06;00:00:16;73,73;00:00:14;00:00:01;00:00:59;00:00:13;00:00:14;00:00:12;00:00:38;00:00:34;
GIANDONATO;782;36;17;53;49;132;3,35;19,43;0;20,82;15,54;80,97;20,22;00:21:35;1,99;2,66;6,81;6,26;16,88;2,24;6;6;21;19;0;19;67,71;32,62;20,2;4,34;00:00:03;80,97;00:00:08;00:00:00;00:00:38;00:00:05;00:00:08;00:00:08;00:00:28;00:00:27;
LA ROSA ;952;45;86;66;54;184;4,13;18,55;4,63;28,13;19,33;75,36;34,79;00:21:09;2,03;2,95;6,95;5,71;19,3;9,02;7;7;24;22;0;22;80,17;35,15;24,45;5,24;00:00:14;75,36;00:00:08;00:00:00;00:00:46;00:00:07;00:00:08;00:00:11;00:00:31;00:00:27;
LELLA ;1140;52;100;88;78;225;5,01;24,34;30,85;35,77;37,34;69,61;64,79;00:21:54;3,27;3,14;7,75;6,87;19,74;8,73;13;11;26;25;0;25;62,17;37,45;27,2;6,58;00:00:15;69,61;00:00:13;00:00:04;00:00:54;00:00:14;00:00:13;00:00:13;00:00:39;00:00:36;
MANCINI;940;43;93;81;84;194;4,22;25,54;35,29;35,39;32,34;76,02;53,6;00:21:39;3,44;3,77;8,67;8,94;20,67;9,89;13;12;30;26;0;26;62,94;39,62;26,46;5,48;00:00:14;76,02;00:00:12;00:00:04;00:00:48;00:00:11;00:00:12;00:00:13;00:00:33;00:00:35;
OCCHIONI;940;46;98;75;69;194;4,43;24,08;9,34;35,78;36,21;78,31;52,15;00:20:23;3,85;3,81;8,01;7,35;20,65;10,45;14;11;27;25;0;25;41,89;38,67;26,4;5,42;00:00:15;78,31;00:00:13;00:00:01;00:00:49;00:00:11;00:00:13;00:00:12;00:00:30;00:00:29;
PALESI;1028;47;122;89;77;252;4,6;27,36;35,16;38,25;37,76;73,95;77,82;00:22:01;3,67;3,72;8,68;7,49;24,46;11,82;14;9;24;23;0;23;78,91;43,89;26,79;6,08;00:00:19;73,95;00:00:12;00:00:04;00:01:00;00:00:17;00:00:12;00:00:14;00:00:36;00:00:32;
PINNA S.;981;45;85;89;72;206;4,53;29,37;2,99;38,78;40,14;75,47;52,29;00:21:40;4,09;3,95;9,1;7,34;21,02;8,66;15;10;33;21;0;21;59,51;40,62;25,11;5,89;00:00:14;75,47;00:00:14;00:00:00;00:00:53;00:00:12;00:00:14;00:00:14;00:00:39;00:00:35;
PISANO;907;42;93;69;61;179;4,01;22,2;5,65;25,22;26,06;76,52;42,38;00:21:23;2,87;2,78;7,6;6,76;19,69;10,22;10;6;25;23;0;23;49,15;37,45;24,9;5,15;00:00:15;76,52;00:00:10;00:00:00;00:00:46;00:00:09;00:00:10;00:00:09;00:00:29;00:00:26;
TRAVAGLINI;980;45;110;103;87;237;4,67;33,7;24,56;42,99;51,99;75,93;84,74;00:21:42;5,3;4,38;10,48;8,88;24,18;11,22;22;13;26;27;0;27;62,39;45,45;26,85;6,09;00:00:17;75,93;00:00:16;00:00:03;00:00:58;00:00:18;00:00:16;00:00:15;00:00:39;00:00:33;
UDHO;1038;47;82;81;65;180;4,43;20,88;14,99;34,84;27,61;75,74;48,49;00:21:54;2,66;3,36;7,77;6,22;17,3;7,88;9;5;31;19;0;19;65,3;34,11;26,84;5,83;00:00:13;75,74;00:00:10;00:00:02;00:00:45;00:00:11;00:00:10;00:00:12;00:00:39;00:00:33;
